gene,arm
SLC38A4,12q
SLC39A5,12q
SLC41A2,12q
SLC48A1,12q
SLC4A8,12q
SLC5A8,12q
SLC6A12,12p
SLC6A12-AS1,12p
SLC6A13,12p
SLC6A15,12q
SLC8B1,12q
SLC9A7P1,12q
SLCO1A2,12p
SLCO1B1,12p
SLCO1B3,12p
SLCO1B3-SLCO1B7,12p
SLCO1B7,12p
SLCO1C1,12p
SMAGP,12q
SMARCC2,12q
SMARCD1,12q
SMCO2,12p
SMCO3,12p
SMIM10L1,12p
SMIM41,12q
SMUG1,12q
SNORA105C,12q
SNORA113,12q
SNORA120,12p
SNORA2A,12q
SNORA2B,12q
SNORA2C,12q
SNORA49,12q
SNORA53,12q
SNORA70G,12q
SNORA9B,12q
SNORD133,12q
SNORD59A,12q
SNORD59B,12q
SNRNP35,12q
SNRPF,12q
SOAT2,12q
SOCS2,12q
SOCS2-AS1,12q
SOX5,12p
SOX5-AS1,12p
SP1,12q
SP7,12q
SPATS2,12q
SPIC,12q
SPPL3,12q
SPRING1,12q
SPRYD3,12q
SPRYD4,12q
SPSB2,12p
SPX,12p
SRGAP1,12q
SRRM4,12q
SRSF9,12q
SSH1,12q
SSPN,12p
ST8SIA1,12p
STAB2,12q
STAC3,12q
STAT2,12q
STAT6,12q
STK38L,12p
STRAP,12p
STX2,12q
STYK1,12p
SUDS3,12q
SUOX,12q
SVOP,12q
SYCP3,12q
SYT1,12q
SYT10,12p
TAC3,12q
TAFA2,12q
TAMALIN,12q
TAMALIN-AS1,12q
TAOK3,12q
TAPBPL,12p
TARBP2,12q
TAS2R10,12p
TAS2R13,12p
TAS2R14,12p
TAS2R19,12p
TAS2R20,12p
TAS2R30,12p
TAS2R31,12p
TAS2R42,12p
TAS2R43,12p
TAS2R46,12p
TAS2R50,12p
TAS2R7,12p
TAS2R8,12p
TAS2R9,12p
TBC1D15,12q
TBC1D30,12q
TBK1,12q
TBX3,12q
TBX5,12q
TBX5-AS1,12q
TCHP,12q
TCP11L2,12q
TCTN1,12q
TCTN2,12q
TDG,12q
TEAD4,12p
TESC,12q
TESC-AS1,12q
TESPA1,12q
TEX49,12q
TEX52,12p
TFCP2,12q
THAP2,12q
THCAT155,12p
THRIL,12q
TIGAR,12p
TIMELESS,12q
TM7SF3,12p
TMBIM4,12q
TMBIM6,12q
TMCC3,12q
TMED2,12q
TMED2-DT,12q
TMEM106C,12q
TMEM116,12q
TMEM117,12q
TMEM119,12q
TMEM120B,12q
TMEM132B,12q
TMEM132C,12q
TMEM132D,12q
TMEM132D-AS1,12q
TMEM132D-AS2,12q
TMEM19,12q
TMEM198B,12q
TMEM233,12q
TMEM263,12q
TMEM52B,12p
TMPO,12q
TMPO-AS1,12q
TMPRSS12,12q
TMTC1,12p
TMTC2,12q
TMTC3,12q
TNFRSF1A,12p
TNS2,12q
TPCN1,12q
TPH2,12q
TPI1,12p
TRAFD1,12q
TRHDE,12q
TRHDE-AS1,12q
TRIAP1,12q
TROAP,12q
TRPV4,12q
TSFM,12q
TSPAN11,12p
TSPAN19,12q
TSPAN31,12q
TSPAN8,12q
TSPAN9,12p
TTC41P,12q
TUBA1A,12q
TUBA1B,12q
TUBA1C,12q
TULP3,12p
TWF1,12q
TXNRD1,12q
UBC,12q
UBE2N,12q
UBE3B,12q
UHRF1BP1L,12q
ULK1,12q
UNC119B,12q
UNG,12q
USP15,12q
USP30,12q
USP30-AS1,12q
USP44,12q
USP5,12p
UTP20,12q
VAMP1,12p
VDR,12q
VEZT,12q
VPS29,12q
VPS33A,12q
VPS37B,12q
VSIG10,12q
VWF,12p
WASH8P,12p
WASHC3,12q
WASHC4,12q
WBP11,12p
WIF1,12q
WNK1,12p
WNT1,12q
WNT10B,12q
WNT5B,12p
WSB2,12q
WSCD2,12q
XLOC_009911,12q
XPOT,12q
YAF2,12q
YARS2,12p
YBX3,12p
YEATS4,12q
ZBTB39,12q
ZC3H10,12q
ZCCHC8,12q
ZCRB1,12q
ZDHHC17,12q
ZFC3H1,12q
ZNF10,12q
ZNF140,12q
ZNF26,12q
ZNF268,12q
ZNF384,12p
ZNF385A,12q
ZNF605,12q
ZNF641,12q
ZNF664,12q
ZNF664-RFLNA,12q
ZNF705A,12p
ZNF740,12q
ZNF84,12q
ZNF84-DT,12q
ZNF891,12q
ABCC4,13q
ABHD13,13q
ACOD1,13q
ADPRHL1,13q
AKAP11,13q
ALG11,13q
ALG5,13q
ALOX5AP,13q
AMER2,13q
ANKRD10,13q
ANKRD20A19P,13q
ANKRD20A9P,13q
ANKRD26P3,13q
ARGLU1,13q
ARHGEF7,13q
ARHGEF7-AS1,13q
ARHGEF7-AS2,13q
ARL11,13q
ATP11A,13q
ATP11A-AS1,13q
ATP11AUN,13q
ATP12A,13q
ATP4B,13q
ATP7B,13q
ATP8A2,13q
ATXN8OS,13q
B3GLCT,13q
BASP1P1,13q
BIVM,13q
BIVM-ERCC5,13q
BORA,13q
BRCA2,13q
BTF3P11,13q
C13orf42,13q
C13orf46,13q
C1QTNF9,13q
C1QTNF9B,13q
CAB39L,13q
CARS2,13q
CBY2,13q
CCDC122,13q
CCDC168,13q
CCDC169,13q
CCDC169-SOHLH2,13q
CCDC70,13q
CCNA1,13q
CDADC1,13q
CDC16,13q
CDK8,13q
CDX2,13q
CENPJ,13q
CHAMP1,13q
CKAP2,13q
CLDN10,13q
CLDN10-AS1,13q
CLN5,13q
CLYBL,13q
CLYBL-AS1,13q
CLYBL-AS2,13q
CNMD,13q
COG3,13q
COG6,13q
COL4A1,13q
COL4A2,13q
COL4A2-AS1,13q
COL4A2-AS2,13q
COMMD6,13q
CPB2,13q
CPB2-AS1,13q
CRYL1,13q
CSNK1A1L,13q
CTAGE10P,13q
CTAGE11P,13q
CUL4A,13q
CYSLTR2,13q
DACH1,13q
DAOA,13q
DAOA-AS1,13q
DCLK1,13q
DCT,13q
DCUN1D2,13q
DGKH,13q
DHRS12,13q
DIAPH3,13q
DIAPH3-AS1,13q
DIAPH3-AS2,13q
DIS3,13q
DLEU1,13q
DLEU1-AS1,13q
DLEU2,13q
DLEU7,13q
DLEU7-AS1,13q
DNAJC15,13q
DNAJC3,13q
DNAJC3-DT,13q
DOCK9,13q
DOCK9-AS1,13q
DOCK9-DT,13q
DZIP1,13q
EBPL,13q
EDNRB,13q
EDNRB-AS1,13q
EEF1AKMT1,13q
EEF1DP3,13q
EFNB2,13q
ELF1,13q
ENOX1,13q
ENOX1-AS2,13q
EPSTI1,13q
ERCC5,13q
ERICH6B,13q
ESD,13q
EXOSC8,13q
F10,13q
F10-AS1,13q
F7,13q
FAM124A,13q
FAM155A,13q
FAM155A-IT1,13q
FAM216B,13q
FAM230C,13q
FARP1,13q
FBXL3,13q
FGF14,13q
FGF14-AS1,13q
FGF14-AS2,13q
FGF14-IT1,13q
FGF9,13q
FKSG29,13q
FLT1,13q
FLT3,13q
FNDC3A,13q
FOXO1,13q
FREM2,13q
FREM2-AS1,13q
FRY,13q
FRY-AS1,13q
GAS6,13q
GAS6-AS1,13q
GAS6-DT,13q
GGACT,13q
GJA3,13q
GJB2,13q
GJB6,13q
GPALPP1,13q
GPC5,13q
GPC5-AS1,13q
GPC5-AS2,13q
GPC6,13q
GPC6-AS1,13q
GPC6-AS2,13q
GPR12,13q
GPR18,13q
GPR180,13q
GPR183,13q
GRK1,13q
GRK6P1,13q
GRTP1,13q
GRTP1-AS1,13q
GSX1,13q
GTF2F2,13q
GTF3A,13q
GUCY1B2,13q
HMGB1,13q
HNRNPA1L2,13q
HS6ST3,13q
HSPH1,13q
HTR2A,13q
HTR2A-AS1,13q
IFT88,13q
IL17D,13q
ING1,13q
INTS6,13q
INTS6-AS1,13q
IPO5,13q
IRS2,13q
ITGBL1,13q
ITM2B,13q
KATNAL1,13q
KBTBD6,13q
KBTBD7,13q
KCNRG,13q
KCTD12,13q
KCTD4,13q
KL,13q
KLF12,13q
KLF5,13q
KLHL1,13q
KPNA3,13q
LACC1,13q
LAMP1,13q
LATS2,13q
LCP1,13q
LHFPL6,13q
LIG4,13q
LINC00297,13q
LINC00327,13q
LINC00330,13q
LINC00331,13q
LINC00332,13q
LINC00333,13q
LINC00343,13q
LINC00347,13q
LINC00348,13q
LINC00350,13q
LINC00351,13q
LINC00353,13q
LINC00354,13q
LINC00355,13q
LINC00358,13q
LINC00359,13q
LINC00363,13q
LINC00364,13q
LINC00365,13q
LINC00366,13q
LINC00367,13q
LINC00368,13q
LINC00373,13q
LINC00374,13q
LINC00375,13q
LINC00376,13q
LINC00377,13q
LINC00378,13q
LINC00379,13q
LINC00380,13q
LINC00381,13q
LINC00382,13q
LINC00383,13q
LINC00384,13q
LINC00390,13q
LINC00392,13q
LINC00395,13q
LINC00396,13q
LINC00397,13q
LINC00398,13q
LINC00399,13q
LINC00400,13q
LINC00402,13q
LINC00407,13q
LINC00408,13q
LINC00410,13q
LINC00411,13q
LINC00412,13q
LINC00415,13q
LINC00417,13q
LINC00421,13q
LINC00423,13q
LINC00424,13q
LINC00426,13q
LINC00428,13q
LINC00430,13q
LINC00431,13q
LINC00433,13q
LINC00434,13q
LINC00437,13q
LINC00440,13q
LINC00442,13q
LINC00443,13q
LINC00445,13q
LINC00446,13q
LINC00448,13q
LINC00449,13q
LINC00452,13q
LINC00454,13q
LINC00456,13q
LINC00457,13q
LINC00458,13q
LINC00459,13q
LINC00460,13q
LINC00462,13q
LINC00463,13q
LINC00539,13q
LINC00540,13q
LINC00543,13q
LINC00544,13q
LINC00545,13q
LINC00547,13q
LINC00548,13q
LINC00550,13q
LINC00551,13q
LINC00552,13q
LINC00554,13q
LINC00557,13q
LINC00558,13q
LINC00559,13q
LINC00560,13q
LINC00561,13q
LINC00562,13q
LINC00563,13q
LINC00564,13q
LINC00565,13q
LINC00566,13q
LINC00567,13q
LINC00571,13q
LINC00572,13q
LINC00598,13q
LINC00621,13q
LINC00676,13q
LINC01038,13q
LINC01039,13q
LINC01040,13q
LINC01043,13q
LINC01044,13q
LINC01046,13q
LINC01047,13q
LINC01048,13q
LINC01049,13q
LINC01050,13q
LINC01052,13q
LINC01053,13q
LINC01054,13q
LINC01055,13q
LINC01058,13q
LINC01065,13q
LINC01068,13q
LINC01069,13q
LINC01070,13q
LINC01072,13q
LINC01074,13q
LINC01075,13q
LINC01078,13q
LINC01080,13q
LINC01198,13q
LINC01232,13q
LINC01309,13q
LINC02333,13q
LINC02337,13q
LINC02338,13q
LINC02339,13q
LINC02341,13q
LINC02343,13q
LINC02344,13q
LMO7,13q
LMO7-AS1,13q
LMO7DN,13q
LMO7DN-IT1,13q
LNX2,13q
LOC100129307,13q
LOC100288208,13q
LOC100506016,13q
LOC101060553,13q
LOC101927248,13q
LOC101927284,13q
LOC101927437,13q
LOC101928697,13q
LOC101928730,13q
LOC101928764,13q
LOC101928841,13q
LOC101929140,13q
LOC101929259,13q
LOC101929657,13q
LOC102723345,13q
LOC102723968,13q
LOC105370203,13q
LOC105370295,13q
LOC105370361,13q
LOC105370362,13q
LOC107984132,13q
LOC112268114,13q
LOC112268117,13q
LOC647264,13q
LOC780529,13q
LPAR6,13q
LRCH1,13q
LRRC63,13q
MAB21L1,13q
MBNL2,13q
MCF2L,13q
MCF2L-AS1,13q
MED4,13q
MED4-AS1,13q
MEDAG,13q
METTL21C,13q
METTL21EP,13q
MICOS10P1,13q
MICU2,13q
MIPEP,13q
MIPEPP3,13q
MIR1267,13q
MIR1297,13q
MIR15A,13q
MIR16-1,13q
MIR17,13q
MIR17HG,13q
MIR18A,13q
MIR19A,13q
MIR19B1,13q
MIR20A,13q
MIR2276,13q
MIR2681,13q
MIR3168,13q
MIR3169,13q
MIR3170,13q
MIR320D1,13q
MIR3613,13q
MIR3665,13q
MIR4305,13q
MIR4306,13q
MIR4499,13q
MIR4500,13q
MIR4500HG,13q
MIR4501,13q
MIR4502,13q
MIR4703,13q
MIR4704,13q
MIR4705,13q
MIR5006,13q
MIR5007,13q
MIR548AR,13q
MIR548AS,13q
MIR548X2,13q
MIR5693,13q
MIR621,13q
MIR622,13q
MIR623,13q
MIR759,13q
MIR8073,13q
MIR8075,13q
MIR8079,13q
MIR92A1,13q
MLNR,13q
MPHOSPH8,13q
MRPL57,13q
MRPS31,13q
MRPS31P5,13q
MTIF3,13q
MTMR6,13q
MTRF1,13q
MTUS2,13q
MTUS2-AS1,13q
MYCBP2,13q
MYCBP2-AS1,13q
MYO16,13q
MYO16-AS1,13q
MZT1,13q
N4BP2L1,13q
N4BP2L2,13q
N4BP2L2-IT2,13q
NAA16,13q
NALCN,13q
NALCN-AS1,13q
NAXD,13q
NBEA,13q
NDFIP2,13q
NDFIP2-AS1,13q
NEK3,13q
NEK5,13q
NHLRC3,13q
NRAD1,13q
NUDT15,13q
NUFIP1,13q
NUP58,13q
OBI1,13q
OBI1-AS1,13q
OLFM4,13q
OR7E156P,13q
OR7E37P,13q
OXGR1,13q
PABPC3,13q
PAN3,13q
PAN3-AS1,13q
PARP4,13q
PCCA,13q
PCCA-AS1,13q
PCCA-DT,13q
PCDH17,13q
PCDH20,13q
PCDH8,13q
PCDH9,13q
PCDH9-AS2,13q
PCDH9-AS3,13q
PCDH9-AS4,13q
PCID2,13q
PCOTH,13q
PDS5B,13q
PDX1,13q
PHF11,13q
PIBF1,13q
PLUT,13q
POGLUT2,13q
POLR1D,13q
POMP,13q
POSTN,13q
POU4F1,13q
PRECSIT,13q
PROSER1,13q
PROZ,13q
PRR20A,13q
PRR20B,13q
PRR20C,13q
PRR20D,13q
PRR20E,13q
PSPC1,13q
RAB20,13q
RAP2A,13q
RASA3,13q
RASL11A,13q
RB1,13q
RB1-DT,13q
RBM26,13q
RBM26-AS1,13q
RCBTB1,13q
RCBTB2,13q
RFC3,13q
RFXAP,13q
RGCC,13q
RNASEH2B,13q
RNASEH2B-AS1,13q
RNF113B,13q
RNF17,13q
RNF6,13q
RUBCNL,13q
RXFP2,13q
SACS,13q
SACS-AS1,13q
SAP18,13q
SCEL,13q
SCEL-AS1,13q
SERP2,13q
SERPINE3,13q
SERTM1,13q
SETDB2,13q
SETDB2-PHF11,13q
SGCG,13q
SHISA2,13q
SIAH3,13q
SKA3,13q
SLAIN1,13q
SLC10A2,13q
SLC15A1,13q
SLC25A15,13q
SLC25A30,13q
SLC25A30-AS1,13q
SLC46A3,13q
SLC7A1,13q
SLITRK1,13q
SLITRK5,13q
SLITRK6,13q
SMAD9,13q
SMIM2,13q
SMIM2-AS1,13q
SMIM2-IT1,13q
SNORA107,13q
SNORA27,13q
SNORA31,13q
SNORA31B,13q
SNORD102,13q
SNORD13G,13q
SNORD31B,13q
SOHLH2,13q
SOX1,13q
SOX1-OT,13q
SOX21,13q
SOX21-AS1,13q
SPACA7,13q
SPART,13q
SPART-AS1,13q
SPATA13,13q
SPATA13-AS1,13q
SPRY2,13q
SPRYD7,13q
ST13P4,13q
STARD13,13q
STARD13-AS,13q
STK24,13q
STK24-AS1,13q
STOML3,13q
SUCLA2,13q
SUGT1,13q
SUGT1P3,13q
SUPT20H,13q
TBC1D4,13q
TDRD3,13q
TEX26,13q
TEX26-AS1,13q
TEX29,13q
TEX30,13q
TFDP1,13q
TGDS,13q
THSD1,13q
TM9SF2,13q
TMCO3,13q
TMEM255B,13q
TMEM272,13q
TMTC4,13q
TNFRSF19,13q
TNFSF11,13q
TNFSF13B,13q
TPP2,13q
TPT1,13q
TPT1-AS1,13q
TPTE2,13q
TPTE2P1,13q
TPTE2P3,13q
TPTE2P5,13q
TPTE2P6,13q
TRIM13,13q
TRPC4,13q
TSC22D1,13q
TSC22D1-AS1,13q
TUBA3C,13q
TUBGCP3,13q
TUSC8,13q
UBAC2,13q
UBAC2-AS1,13q
UBE2L5,13q
UBL3,13q
UCHL3,13q
UFM1,13q
UGGT2,13q
UPF3A,13q
URAD,13q
USP12,13q
USP12-AS1,13q
USP12-AS2,13q
USPL1,13q
UTP14C,13q
VPS36,13q
VWA8,13q
VWA8-AS1,13q
WASF3,13q
WBP4,13q
WDFY2,13q
XPO4,13q
ZAR1L,13q
ZC3H13,13q
ZDHHC20,13q
ZIC2,13q
ZIC5,13q
ZMYM2,13q
ZMYM5,13q
ABCD4,14q
ABHD12B,14q
ABHD4,14q
ACIN1,14q
ACOT1,14q
ACOT2,14q
ACOT4,14q
ACOT6,14q
ACTN1,14q
ACTN1-AS1,14q
ACTR10,14q
ACYP1,14q
ADAM20,14q
ADAM20P1,14q
ADAM21,14q
ADAM21P1,14q
ADAM6,14q
ADCK1,14q
ADCY4,14q
ADSS1,14q
AHNAK2,14q
AHSA1,14q
AJUBA,14q
AK7,14q
AKAP5,14q
AKAP6,14q
AKT1,14q
ALDH6A1,14q
ALKBH1,14q
AMN,14q
ANG,14q
ANGEL1,14q
ANKRD9,14q
AP1G2,14q
AP4S1,14q
AP5M1,14q
APEX1,14q
AREL1,14q
ARF6,14q
ARG2,14q
ARHGAP5,14q
ARHGAP5-AS1,14q
ARHGEF40,14q
ARID4A,14q
ARMH4,14q
ASB2,14q
ASPG,14q
ATG14,14q
ATG2B,14q
ATL1,14q
ATP5MPL,14q
ATP6V1D,14q
ATXN3,14q
BAG5,14q
BATF,14q
BAZ1A,14q
BBOF1,14q
BCL11B,14q
BCL2L2,14q
BCL2L2-PABPN1,14q
BDKRB1,14q
BDKRB2,14q
BEGAIN,14q
BMP4,14q
BMS1P17,22q
BMS1P18,22q
BMS1P22,22q
BRF1,14q
BRMS1L,14q
BTBD6,14q
BTBD7,14q
C14orf119,14q
C14orf132,14q
C14orf177,14q
C14orf178,14q
C14orf180,14q
C14orf28,14q
C14orf39,14q
C14orf93,14q
CALM1,14q
CARMIL3,14q
CATSPERB,14q
CBLN3,14q
CCDC175,14q
CCDC177,14q
CCDC196,14q
CCDC197,14q
CCDC198,14q
CCDC85C,14q
CCDC88C,14q
CCNB1IP1,14q
CCNK,14q
CDC42BPB,14q
CDCA4,14q
CDH24,14q
CDKL1,14q
CDKN3,14q
CEBPE,14q
CEP128,14q
CEP170B,14q
CFL2,14q
CGRRF1,14q
CHD8,14q
CHGA,14q
CHMP4A,14q
CHURC1,14q
CHURC1-FNTB,14q
CIDEB,14q
CINP,14q
CIPC,14q
CKB,14q
CLBA1,14q
CLEC14A,14q
CLMN,14q
CMA1,14q
CMTM5,14q
CNIH1,14q
COA8,14q
COCH,14q
COQ6,14q
COX16,14q
COX8C,14q
CPNE6,14q
CPSF2,14q
CRIP1,14q
CRIP2,14q
CTSG,14q
CYP46A1,14q
DAAM1,14q
DACT1,14q
DAD1,14q
DCAF11,14q
DCAF4,14q
DCAF5,14q
DDHD1,14q
DDX24,14q
DEGS2,14q
DGLUCY,14q
DHRS1,14q
DHRS2,14q
DHRS4,14q
DHRS4-AS1,14q
DHRS4L1,14q
DHRS4L2,14q
DHRS7,14q
DICER1,14q
DICER1-AS1,14q
DIO2,14q
DIO2-AS1,14q
DIO3,14q
DIO3OS,14q
DLGAP5,14q
DLK1,14q
DLST,14q
DMAC2L,14q
DNAAF2,14q
DNAL1,14q
DPF3,14q
DTD2,14q
DUXAP10,14q
DUXAP9,14q
DYNC1H1,14q
EAPP,14q
ECRP,14q
EDDM3A,14q
EDDM3B,14q
EFCAB11,14q
EFS,14q
EGLN3,14q
EIF2B2,14q
EIF2S1,14q
EIF5,14q
ELK2AP,14q
EMC9,14q
EML1,14q
EML5,14q
ENTPD5,14q
ERG28,14q
ERH,14q
ERO1A,14q
ESR2,14q
ESRRB,14q
EVL,14q
EXD2,14q
EXOC3L4,14q
EXOC5,14q
FAM161B,14q
FAM177A1,14q
FAM181A,14q
FAM181A-AS1,14q
FAM30A,14q
FAM71D,14q
FANCM,14q
FBLN5,14q
FBXO33,14q
FBXO34,14q
FCF1,14q
FERMT2,14q
FITM1,14q
FKBP3,14q
FLJ22447,14q
FLRT2,14q
FLVCR2,14q
FNTB,14q
FOS,14q
FOXA1,14q
FOXG1,14q
FOXG1-AS1,14q
FOXN3,14q
FOXN3-AS1,14q
FOXN3-AS2,14q
FRMD6,14q
FRMD6-AS1,14q
FRMD6-AS2,14q
FSCB,14q
FUT8,14q
FUT8-AS1,14q
G2E3,14q
G2E3-AS1,14q
GALC,14q
GALNT16,14q
GCH1,14q
GEMIN2,14q
GLRX5,14q
GMFB,14q
GMPR2,14q
GNG2,14q
GNPNAT1,14q
GOLGA5,14q
GON7,14q
GPATCH2L,14q
GPHB5,14q
GPHN,14q
GPR132,14q
GPR135,14q
GPR137C,14q
GPR33,14q
GPR65,14q
GPR68,14q
GPX2,14q
GSC,14q
GSC-DT,14q
GSKIP,14q
GSTZ1,14q
GTF2A1,14q
GZMB,14q
GZMH,14q
HAUS4,14q
HEATR4,14q
HEATR5A,14q
HECTD1,14q
HHIPL1,14q
HIF1A,14q
HIF1A-AS1,14q
HIF1A-AS2,14q
HIF1A-AS3,14q
HNRNPC,14q
HOMEZ,14q
HSP90AA1,14q
HSPA2,14q
IFI27,14q
IFI27L1,14q
IFI27L2,14q
IFT43,14q
IGBP1P1,14q
IL25,14q
INF2,14q
INSM2,14q
IPO4,14q
IRF2BPL,14q
IRF9,14q
ISCA2,14q
ISM2,14q
ITPK1,14q
ITPK1-AS1,14q
JAG2,14q
JDP2,14q
JKAMP,14q
JPH4,14q
KCNH5,14q
KCNK10,14q
KCNK13,14q
KHNYN,14q
KIAA0586,14q
KIF26A,14q
KLC1,14q
KLHDC1,14q
KLHDC2,14q
KLHL28,14q
KLHL33,14q
KTN1,14q
KTN1-AS1,14q
L2HGDH,14q
L3HYPDH,14q
LBHD2,14q
LGALS3,14q
LGMN,14q
LIN52,14q
LINC00216,14q
LINC00221,14q
LINC00226,14q
LINC00239,14q
LINC00517,14q
LINC00519,14q
LINC00520,14q
LINC00523,14q
LINC00524,14q
LINC00605,14q
LINC00609,14q
LINC00618,14q
LINC00637,14q
LINC00638,14q
LINC00639,14q
LINC00640,14q
LINC00641,14q
LINC00642,14q
LINC00643,14q
LINC00644,14q
LINC00645,14q
LINC00648,14q
LINC00677,14q
LINC00871,14q
LINC00911,14q
LINC01146,14q
LINC01147,14q
LINC01148,14q
LINC01220,14q
LINC01269,14q
LINC01297,14q
LINC01297-DUXAP10-NBEAP6,14q
LINC01303,14q
LINC01467,14q
LINC01500,14q
LINC01550,14q
LINC01551,14q
LINC01588,14q
LINC01599,14q
LINC01629,14q
LINC02274,14q
LINC02280,14q
LINC02282,14q
LINC02285,14q
LINC02287,14q
LINC02288,14q
LINC02289,14q
LINC02291,14q
LINC02292,14q
LINC02293,14q
LINC02294,14q
LINC02297,14q
LINC02298,14q
LINC02299,14q
LINC02301,14q
LINC02302,14q
LINC02303,14q
LINC02304,14q
LINC02308,14q
LINC02310,14q
LINC02311,14q
LINC02312,14q
LINC02313,14q
LINC02314,14q
LINC02315,14q
LINC02317,14q
LINC02318,14q
LINC02322,14q
LINC02323,14q
LINC02324,14q
LINC02325,14q
LINC02328,14q
LINC02329,14q
LINC02330,14q
LINC02332,14q
LINC02588,14q
LINC02691,14q
LMLN2,14q
LNCRNA-ATB,14q
LOC100288846,14q
LOC100289511,14q
LOC100506071,14q
LOC100506321,14q
LOC100506358,14q
LOC100506476,14q
LOC100507437,14q
LOC100508046,14q
LOC100996664,14q
LOC101926933,14q
LOC101927045,14q
LOC101927124,14q
LOC101927178,14q
LOC101927418,14q
LOC101927620,14q
LOC101927690,14q
LOC101928075,14q
LOC101928123,14q
LOC101928143,14q
LOC101928504,14q
LOC101928909,14q
LOC101929572,14q
LOC101929718,14q
LOC102723604,14q
LOC102723809,14q
LOC102724153,14q
LOC102724814,14q
LOC105370401,14q
LOC105370457,14q
LOC105370473,14q
LOC105370489,14q
LOC105370579,14q
LOC105370586,14q
LOC105370619,14q
LOC105370622,14q
LOC105370687,14q
LOC105370697,14q
LOC105370705,14q
LOC105370708,14q
LOC105378183,14q
LOC107984703,14q
LOC112268124,14q
LOC112268136,14q
LOC112268140,14q
LOC145474,14q
LOC254028,14q
LOC646548,14q
LOC728755,14q
LOC730202,14q
LRFN5,14q
LRP10,14q
LRR1,14q
LRRC74A,14q
LRRC9,14q
LTB4R,14q
LTB4R2,14q
LTBP2,14q
MAP3K9,14q
MAP4K5,14q
MAPK1IP1L,14q
MARK3,14q
MAX,14q
MBIP,14q
MDGA2,14q
MDP1,14q
MED6,14q
MEG3,14q
MEG8,14q
MEG9,14q
METTL17,14q
METTL3,14q
MGAT2,14q
MHRT,14q
MIA2,14q
MIDEAS,14q
MIPOL1,14q
MIR1185-1,14q
MIR1185-2,14q
MIR1193,14q
MIR1197,14q
MIR12121,14q
MIR1247,14q
MIR1260A,14q
MIR127,14q
MIR134,14q
MIR136,14q
MIR151B,14q
MIR154,14q
MIR203A,14q
MIR203B,14q
MIR208A,14q
MIR208B,14q
MIR2392,14q
MIR299,14q
MIR300,14q
MIR3171,14q
MIR3173,14q
MIR323A,14q
MIR323B,14q
MIR329-1,14q
MIR329-2,14q
MIR337,14q
MIR342,14q
MIR345,14q
MIR369,14q
MIR370,14q
MIR376A1,14q
MIR376A2,14q
MIR376B,14q
MIR376C,14q
MIR377,14q
MIR379,14q
MIR380,14q
MIR381,14q
MIR381HG,14q
MIR382,14q
MIR409,14q
MIR410,14q
MIR411,14q
MIR412,14q
MIR4307,14q
MIR4307HG,14q
MIR4308,14q
MIR4309,14q
MIR431,14q
MIR432,14q
MIR433,14q
MIR4503,14q
MIR4504,14q
MIR4505,14q
MIR4506,14q
MIR4507,14q
MIR4537,14q
MIR4538,14q
MIR4539,14q
MIR4706,14q
MIR4707,14q
MIR4708,14q
MIR4709,14q
MIR4710,14q
MIR485,14q
MIR487A,14q
MIR487B,14q
MIR493,14q
MIR494,14q
MIR495,14q
MIR496,14q
MIR5195,14q
MIR539,14q
MIR541,14q
MIR543,14q
MIR544A,14q
MIR548H1,14q
MIR548Y,14q
MIR5580,14q
MIR5586,14q
MIR5694,14q
MIR6076,14q
MIR624,14q
MIR625,14q
MIR654,14q
MIR655,14q
MIR656,14q
MIR665,14q
MIR668,14q
MIR6717,14q
MIR6764,14q
MIR6765,14q
MIR758,14q
MIR770,14q
MIR7703,14q
MIR7843,14q
MIR7855,14q
MIR8071-1,14q
MIR8071-2,14q
MIR889,14q
MIR9718,14q
MIS18BP1,14q
MLH3,14q
MMP14,14q
MNAT1,14q
MOAP1,14q
MOK,14q
MPP5,14q
MRPL52,14q
MTA1,14q
MTHFD1,14q
MYH6,14q
MYH7,14q
NAA30,14q
NDRG2,14q
NDUFB1,14q
NEDD8,14q
NEDD8-MDP1,14q
NEK9,14q
NEMF,14q
NFATC4,14q
NFKBIA,14q
NGB,14q
NGDN,14q
NID2,14q
NIN,14q
NKX2-1,14q
NKX2-1-AS1,14q
NKX2-8,14q
NOP9,14q
NOVA1,14q
NOXRED1,14q
NPAS3,14q
NPC2,14q
NRDE2,14q
NRL,14q
NRXN3,14q
NUBPL,14q
NUDT14,14q
NUMB,14q
NYNRIN,14q
OR10G2,14q
OR10G3,14q
OR11G2,14q
OR11H12,14q
OR11H2,14q
OR11H4,14q
OR11H6,14q
OR11H7,14q
OR4E1,14q
OR4E2,14q
OR4K1,14q
OR4K13,14q
OR4K14,14q
OR4K15,14q
OR4K17,14q
OR4K2,14q
OR4K3,14q
OR4K5,14q
OR4L1,14q
OR4M1,14q
OR4N2,14q
OR4N5,14q
OR4Q2,14q
OR4Q3,14q
OR5AU1,14q
OR6J1,14q
OR6S1,14q
OSGEP,14q
OTUB2,14q
OTX2,14q
OTX2-AS1,14q
OXA1L,14q
PABPN1,14q
PACS2,14q
PAPLN,14q
PAPOLA,14q
PARP2,14q
PAX9,14q
PCK2,14q
PCNX1,14q
PCNX4,14q
PELI2,14q
PGF,14q
PIGH,14q
PIP4P1,14q
PLD4,14q
